Disease,ChemicalName,ChemicalID,CasRN,tier,InferenceGeneSymbol,InferenceScore,gene_count,PubMedIDs
Asthma,"Antigens, Bacterial",D000942,,curated,,,,18391481|29067999
Asthma,"Antigens, Dermatophagoides",D039741,,curated,,,,29067999|29792201|31751647|33170220|36610671
Asthma,"Anti-Inflammatory Agents, Non-Steroidal",D000894,,curated,,,,11476468
Asthma,apaflurane,C094049,431-89-0,curated,,,,22221427
Asthma,Arsenic,D001151,7440-38-2,curated,,,,24062297
Asthma,Arsenic Trioxide,D000077237,1327-53-3,curated,,,,23210436
Asthma,Artesunate,D000077332,,curated,,,,26340163
Asthma,Aspirin,D001241,50-78-2,curated,,,,1751016|3539408
Asthma,bambuterol,C047766,81732-65-2,curated,,,,8112441
Asthma,Beclomethasone,D001507,4419-39-0,curated,,,,10075616|10322818|10347961|10513351|10588598|10639760|10764315|10813552|10983617|11379808|11379810|11393418|11422148|11449530|11527250|11555383|11559968|11758890|11980116|12114351|12153692|12166584|12360108|12449158|12449667|12464949|12489251|12587966|1443864|15025036|16270722|16509916|16973987|17564282|17872493|18430318|21762500|22221427|22357130|23512537|2844548|6958474|7148765|7312482|7437783|7540862|8111605|81404|8534483|8694041|8762487|8874658|9203805|9385125|9657561|9700034
Asthma,Benzo(a)pyrene,D001564,50-32-8,curated,,,,28807506
Asthma,Benzofurans,D001572,,curated,,,,30696844
Asthma,beta-Glucans,D047071,,curated,,,,24905346
Asthma,bisphenol A,C006780,80-05-7,curated,,,,31906378
Asthma,bisphenol A glucuronide,C512161,,curated,,,,29411558
Asthma,bitolterol,C011685,30392-40-6,curated,,,,3968329
Asthma,brevetoxin,C053342,98225-48-0,curated,,,,19654919
Asthma,Bronchodilator Agents,D001993,,curated,,,,10069892|7443604
Asthma,Budesonide,D019819,51333-22-3,curated,,,,10347961|10400838|10806605|10893010|10894975|11555383|11694816|12113382|12604023|14641354|15136378|15341026|15572850|18489783|20004779|22607479|6958474|9701427
Asthma,butylate,C023898,2008-41-5,curated,,,,23670403
Asthma,butylbenzyl phthalate,C027561,85-68-7,curated,,,,28392331|40610791
Asthma,Cadmium,D002104,7440-43-9,curated,,,,30998937
Asthma,Captan,D002215,133-06-2,curated,,,,19541724
Asthma,Carbamates,D002219,,curated,,,,17932376
Asthma,Carbaryl,D012721,63-25-2,curated,,,,17932376
Asthma,Carbimazole,D002231,22232-54-8,curated,,,,3968675
Asthma,Carbon,D002244,7440-44-0,curated,,,,37162236
Asthma,Carbon Disulfide,D002246,75-15-0,curated,,,,19541724
Asthma,Carbon Monoxide,D002248,630-08-0,curated,,,,20123607
Asthma,Carbon Tetrachloride,D002251,56-23-5,curated,,,,19541724
Asthma,Chlordan,D002706,12789-03-6,curated,,,,19541724
Asthma,Chromates,D002840,,curated,,,,8687243
Asthma,Cilomilast,C433247,,curated,,,,16956605
Asthma,Cocaine,D003042,50-36-2,curated,,,,10425061|12218880
Asthma,Coloring Agents,D004396,,curated,,,,18403863
Asthma,"Contraceptives, Oral",D003276,,curated,,,,25250096
Asthma,Coumaphos,D003372,56-72-4,curated,,,,17932376|19541724
Asthma,Cromolyn Sodium,D004205,15826-37-6,curated,,,,7437783
Asthma,curdlan,C038459,54724-00-4,curated,,,,23543010
Asthma,Cyclic AMP,D000242,60-92-4,curated,,,,6327346
Asthma,cysteinyl-leukotriene,C112381,,curated,,,,1673495
Asthma,DDT,D003634,50-29-3,curated,,,,17932376|19541724
Asthma,Decitabine,D000077209,2353-33-5,curated,,,,23423710
Asthma,Dexamethasone,D003907,50-02-2,curated,,,,15330010|16569937|16740865|23210436|31751647
Asthma,Dextromethorphan,D003915,125-71-3,curated,,,,6375709
Asthma,Diazinon,D003976,333-41-5,curated,,,,19541724
Asthma,Dibutyl Phthalate,D003993,84-74-2,curated,,,,40610791
Asthma,Dietary Fats,D004041,,curated,,,,36547818
Asthma,Dinitrofluorobenzene,D004139,70-34-8,curated,,,,27216000
Asthma,doqualast,C051309,64019-03-0,curated,,,,2434109
Asthma,doxofylline,C029797,69975-86-6,curated,,,,11951074
Asthma,"Drugs, Chinese Herbal",D004365,,curated,,,,10322818|11783231|16981460|19363516|31751647
Asthma,Dust,D004391,,curated,,,,17578863|19337513|27518660
Asthma,Emodin,D004642,518-82-1,curated,,,,22484343
Asthma,Endocrine Disruptors,D052244,,curated,,,,40610791
Asthma,Endotoxins,D004731,,curated,,,,27518660|32212084
Asthma,enprofylline,C034347,41078-02-8,curated,,,,3523664|3582466|6386511
Asthma,Ephedrine,D004809,299-42-3,curated,,,,208429
Asthma,epigallocatechin gallate,C045651,989-51-5,curated,,,,16516891
Asthma,Epinephrine,D004837,51-43-4,curated,,,,1572199|16713785|17087335|6435488|6787217|7211775|7235434
Asthma,EPTC,C036251,759-94-4,curated,,,,19541724
Asthma,Ethylene Dibromide,D015946,106-93-4,curated,,,,19541724
Asthma,Fenoterol,D005280,13392-18-2,curated,,,,2951826|6248395|8968295
Asthma,Fleroxacin,D016576,79660-72-3,curated,,,,9145823
Asthma,flunisolide,C007734,,curated,,,,16696591
Asthma,Fluticasone,D000068298,,curated,,,,11101185|11379810|11555383|11559968|11596838|11991558|22607479|23548184|9700034
Asthma,Fluticasone-Salmeterol Drug Combination,D000068297,,curated,,,,17654129
Asthma,Food Coloring Agents,D005505,,curated,,,,2736427
Asthma,Food Preservatives,D005520,,curated,,,,2736427
Asthma,Formaldehyde,D005557,50-00-0,curated,,,,11519088|12212974|17002712|17594875|23671638
Asthma,Formoterol Fumarate,D000068759,,curated,,,,10967152|12113382|1443864|18023335|21762500|22221427|22357130|22607479|9759798
Asthma,FPS-ZM1,C572629,,curated,,,,33075463
Asthma,FR 173657,C105311,,curated,,,,12706475
Asthma,"Fungicides, Industrial",D005659,,curated,,,,17932376
Asthma,gamma-Tocopherol,D024504,,curated,,,,17854713
Asthma,geraniol,C007836,624-15-7,curated,,,,27117312
Asthma,Glucocorticoids,D005938,,curated,,,,11344349|14641354|3058451
Asthma,Glutathione,D005978,70-18-8,curated,,,,22867017
Asthma,Glycopyrrolate,D006024,596-51-0,curated,,,,3392363
Asthma,Glyphosate,D000097797,,curated,,,,17932376
Asthma,Guaifenesin,D006140,93-14-1,curated,,,,16197601
Asthma,Halothane,D006221,151-67-7,curated,,,,11782125
Asthma,Heparin,D006493,9005-49-6,curated,,,,19467809|9235556
Asthma,Heptachlor,D006533,76-44-8,curated,,,,19541724
Asthma,Herbicides,D006540,,curated,,,,15121522|19541724
Asthma,Heroin,D003932,,curated,,,,12576374
Asthma,Hexachlorocyclohexane,D001556,,curated,,,,19541724
Asthma,Histamine,D006632,51-45-6,curated,,,,16344897|16387687|19363516
Asthma,"Hydrocarbons, Chlorinated",D006843,,curated,,,,17932376
Asthma,Hydrocortisone,D006854,50-23-7,curated,,,,15090754|3750249
Asthma,Hydrogen Sulfide,D006862,7783-06-4,curated,,,,22357138
Asthma,Ibuprofen,D007052,15687-27-1,curated,,,,7550206
Asthma,Ipratropium,D009241,60205-81-4,curated,,,,11142280|12355682|18225795|2527421|2936370|2947461|2951826
Asthma,Isoproterenol,D007545,7683-59-2,curated,,,,1572199|2878599|4921234|6435488
Asthma,Ketoprofen,D007660,22071-15-4,curated,,,,11300144
Asthma,Ketotifen,D007665,34580-13-7,curated,,,,1479763
Asthma,Lansoprazole,D064747,,curated,,,,16778364
Asthma,Leukotriene Antagonists,D020024,,curated,,,,10922144|19195196
Asthma,Leukotriene B4,D007975,71160-24-2,curated,,,,11006272|19667530
Asthma,Leukotriene C4,D017997,72025-60-6,curated,,,,12816731
Asthma,Leukotriene D4,D017998,73836-78-9,curated,,,,8222486|9690572
Asthma,Leukotrienes,D015289,,curated,,,,8303624
Asthma,LGM2605,C000630836,,curated,,,,31627909
Asthma,Lipid Peroxides,D008054,,curated,,,,10921764
Asthma,Loratadine,D017336,79794-75-5,curated,,,,9196086
Asthma,Malathion,D008294,121-75-5,curated,,,,17932376|19541724
Asthma,Mercury,D008628,7439-97-6,curated,,,,20562055
Asthma,Metaproterenol,D009921,586-06-1,curated,,,,3513564|3794877|6343341
Asthma,Methacholine Chloride,D016210,62-51-1,curated,,,,22484343|31627909|6435488
Asthma,Methotrexate,D008727,59-05-2,curated,,,,1450620|1557242
Asthma,Methylprednisolone,D008775,83-43-2,curated,,,,17087335|2721092|8538677
Asthma,methylxanthine,C008514,28109-92-4,curated,,,,7915431
Asthma,Metoclopramide,D008787,364-62-5,curated,,,,12604014
Asthma,Mometasone Furoate,D000068656,,curated,,,,19441609
Asthma,montelukast,C093875,,curated,,,,10075616|10588598|10852428|10922144|11167954|11422148|12464949|16293801|17895592|17943569|19667530|19681236|20332717|22059882|30696844
Asthma,Mustard Gas,D009151,505-60-2,curated,,,,10378619
Asthma,Nedocromil,D017835,69049-73-6,curated,,,,1329582
Asthma,Neuromuscular Blocking Agents,D009466,,curated,,,,10378560
Asthma,Nicardipine,D009529,55985-32-5,curated,,,,2413722
Asthma,Nifedipine,D009543,21829-25-4,curated,,,,6364879
Asthma,Nitrates,D009566,,curated,,,,32816747|37162236
Asthma,Nitric Oxide,D009569,10102-43-9,curated,,,,16696591|16981460|20123607
Asthma,Nitrogen Dioxide,D009585,10102-44-0,curated,,,,17903240|18941591|20049212|22357138|22763046|24659182|25012280|26731790|26996571|37162236
Asthma,Nitrogen Oxides,D009589,,curated,,,,37162236
Asthma,Organophosphates,D010755,,curated,,,,17932376
Asthma,Ovalbumin,D010047,9006-59-1,curated,,,,22484343|27117312|28392331|29067999|29545090|30696844|30969813|32012983|33146439|33640443|34146326|34152691|34285515|34537180|34774659|35335934|35481609|35982617|36457260|36547818|37004399|40228672
Asthma,ovalbumin-alum,C446402,,curated,,,,27884791|29540228|29724254
Asthma,oxitropium,C017590,30286-75-0,curated,,,,3074291
Asthma,Ozone,D010126,10028-15-6,curated,,,,16373670|17854713|18795172|23434795|25012280|26647366|26731790|31627909|34285515
Asthma,Paraquat,D010269,4685-14-7,curated,,,,19541724
Asthma,Parathion,D010278,56-38-2,curated,,,,17932376|19541724
Asthma,Particulate Matter,D052638,,curated,,,,15121522|16425660|18795172|19270802|19337525|20123607|20667130|24117884|24365139|25491235|26452298|26731790|26734713|27385358|29540228|31941512|32816747|34774659|35335934|37162236|40228672
Asthma,pendimethalin,C030856,40487-42-1,curated,,,,23670403
Asthma,perfluoro-n-nonanoic acid,C101816,375-95-1,curated,,,,31730470
Asthma,perfluorooctane sulfonic acid,C076994,1763-23-1,curated,,,,32485600
Asthma,Permethrin,D026023,52645-53-1,curated,,,,17932376
Asthma,Pesticides,D010575,,curated,,,,15121522|17932376|7808348
Asthma,phenanthrene,C031181,85-01-8,curated,,,,24407477
Asthma,Phenobarbital,D010634,50-06-6,curated,,,,208429
Asthma,Phorate,D010702,298-02-2,curated,,,,17932376|19541724
Asthma,"phosphatidylinositol 3,4-diphosphate",C060980,,curated,,,,22986054
Asthma,Phosphodiesterase 4 Inhibitors,D058988,,curated,,,,17569694
Asthma,phthalic anhydride,C043103,85-44-9,curated,,,,3681491
Asthma,Plant Preparations,D028321,,curated,,,,15330010
Asthma,Platelet Activating Factor,D010972,,curated,,,,32830409|8833165
Asthma,Polychlorinated Biphenyls,D011078,,curated,,,,22326254
Asthma,Polycyclic Aromatic Hydrocarbons,D011084,,curated,,,,33972693
Asthma,"polymeric 4,4'-diphenylmethane diisocyanate",C087867,,curated,,,,21237241
Asthma,pranlukast,C047681,,curated,,,,10069892|11393418|11527250|12153692|12360108|12489251|14584388|14650364|16270722|18430318|20332717|9071168|9303339|9513583
Asthma,Prednisolone,D011239,50-24-8,curated,,,,10069892|10639760|11968751|12171842|17477857|7443604
Asthma,Prednisone,D011241,53-03-2,curated,,,,10199381|11799343|12171842|18717146|3393124|3944744|5025095|7235434
Asthma,Procaterol,D017265,72332-33-3,curated,,,,2933998|2974263
Asthma,Propranolol,D011433,525-66-6,curated,,,,8687243
Asthma,pycnogenols,C024070,,curated,,,,15641632
Asthma,pyrazolanthrone,C432165,,curated,,,,33075463
Asthma,pyrene,C030984,129-00-0,curated,,,,23010230
Asthma,Quaternary Ammonium Compounds,D000644,,curated,,,,37162236
Asthma,Resveratrol,D000077185,,curated,,,,22986054|34774659
Asthma,Ribomunyl,C034206,,curated,,,,3453705
Asthma,Roflumilast,C424423,,curated,,,,16317827
Asthma,S 28463,C099445,,curated,,,,16361354
Asthma,Salicylic Acid,D020156,,curated,,,,6715990
Asthma,Salmeterol Xinafoate,D000068299,,curated,,,,10359889|10480584|11449530|11694805|12166584|12449667|15025036|1687131|16973987|22607479|9164358|9385125|9707465|9731027
Asthma,seratrodast,C060230,,curated,,,,12153692
Asthma,Smoke,D012906,,curated,,,,15121522|21705297|25491235|31520956
Asthma,Sodium Salicylate,D012980,54-21-7,curated,,,,1751016
Asthma,solasodine,C012037,126-17-0,curated,,,,36084726
Asthma,Solvents,D012997,,curated,,,,14959814
Asthma,Soot,D053260,,curated,,,,15121522|20123607|21216722
Asthma,Streptozocin,D013311,18883-66-4,curated,,,,36547818
Asthma,Sulfates,D013431,,curated,,,,37162236
Asthma,Sulfur Dioxide,D013458,7446-09-5,curated,,,,19440507|20123607|22357138|26996571|37162236
Asthma,Synephrine,D013578,94-07-5,curated,,,,19363516
Asthma,syringin,C028305,118-34-3,curated,,,,33146439
Asthma,Tartrazine,D013645,1934-21-0,curated,,,,3894321
Asthma,Terbutaline,D013726,23031-25-6,curated,,,,11729705|1221498|1273541|208429|2578971|2828249|2933998|3582466|3609189|3707814|3964360|4479294|628035|6327346|6364879|6586482|7140872|7148765|7211775|8112441|8968295|9759798
Asthma,Terfenadine,D016593,50679-08-8,curated,,,,8006312
Asthma,Theophylline,D013806,58-55-9,curated,,,,10596698|10916367|11758890|11951074|12070353|12113382|12355682|12734767|1424400|15370247|15645133|16083514|16270722|16430859|16569937|17130682|1758745|17943569|208429|2496015|2578971|2828249|3025113|3074291|3109801|3523664|3537092|3707814|6586482|7140872|7148765|7235434|7312482|7332913|7437783|8162974|8346082|8760775|9701106|9878995
Asthma,"theophylline, salbutamol drug combination",C095476,,curated,,,,2721092
Asthma,Timolol,D013999,26839-75-8,curated,,,,7402591
Asthma,Tobacco Smoke Pollution,D014028,,curated,,,,14959814|16425588|19826548|21572527|22357138|24380835|25003170|29664587|32816747
Asthma,"Toluene 2,4-Diisocyanate",D014051,584-84-9,curated,,,,10797510|10934080|11077013|11467998|11742282|12585506|12684321|12762349|15590890|15590891|15855793|16210060|16792590|170078|17015710|18394133|19187332|20032816|20888385|25929181|26089345|28329851|30261222|3040596|30517707|31070765|31577921|33075463|33711354|6091945|6091946|7684630|8156442
Asthma,tranilast,C012293,53902-12-8,curated,,,,2434109
Asthma,Tretinoin,D014212,302-79-4,curated,,,,16456186
Asthma,Triamcinolone Acetonide,D014222,76-25-5,curated,,,,10071519|10806605
Asthma,Triclosan,D014260,3380-34-5,curated,,,,33654271
Asthma,trimellitic anhydride,C015559,552-30-7,curated,,,,16141432
Asthma,"Trimethoprim, Sulfamethoxazole Drug Combination",D015662,8064-90-2,curated,,,,4430301
Asthma,tulobuterol,C010809,41570-61-0,curated,,,,15007912|15212190
Asthma,Vasodilator Agents,D014665,,curated,,,,21059121
Asthma,Vehicle Emissions,D001335,,curated,,,,15121522|15226151|17903240|20565827|21513554|21995638|24060272|24365139
Asthma,verlukast,C059141,,curated,,,,8303624
Asthma,Vitamin A,D014801,11103-57-4,curated,,,,16732791
Asthma,zafirlukast,C062735,107753-78-6,curated,,,,10027429|10064661|10359889|10386485|10439636|10780761|10817796|10852428|10929920|10934090|10967152|11061985|11070746|11393122|11570617|11596838|11694805|11885876|11991558|12095178|12113382|12114351|12189465|12583521|12604023|12742009|14609035|15136378|15170009|15572850|1673495|18489783|19667530|19681236|20332717|8087328|8162986|8222486|9027267|9196086|9377612|9412547|9620945|9620946|9690572|9701106|9825082|9847434|9949315
Asthma,zileuton,C063449,132880-11-6,curated,,,,10181070|10764316|17944539|19214143|20332717|22059882|8598621|9620945
Asthma,Zinc,D015032,7440-66-6,curated,,,,17085522|19598279
Asthma,4-(4-fluorophenyl)-2-(4-hydroxyphenyl)-5-(4-pyridyl)imidazole,C090942,,gene_inferred,ARG1,79.78,27,19281908|19800904
Asthma,4-(4-fluorophenyl)-2-(4-hydroxyphenyl)-5-(4-pyridyl)imidazole,C090942,,gene_inferred,BCL2,79.78,27,18357729
Asthma,4-(4-fluorophenyl)-2-(4-hydroxyphenyl)-5-(4-pyridyl)imidazole,C090942,,gene_inferred,BGLAP,79.78,27,8429434
Asthma,4-(4-fluorophenyl)-2-(4-hydroxyphenyl)-5-(4-pyridyl)imidazole,C090942,,gene_inferred,CCL11,79.78,27,
Asthma,4-(4-fluorophenyl)-2-(4-hydroxyphenyl)-5-(4-pyridyl)imidazole,C090942,,gene_inferred,CCL2,79.78,27,19373627
Asthma,4-(4-fluorophenyl)-2-(4-hydroxyphenyl)-5-(4-pyridyl)imidazole,C090942,,gene_inferred,CD14,79.78,27,17607003
Asthma,4-(4-fluorophenyl)-2-(4-hydroxyphenyl)-5-(4-pyridyl)imidazole,C090942,,gene_inferred,CYP2E1,79.78,27,28807506
Asthma,4-(4-fluorophenyl)-2-(4-hydroxyphenyl)-5-(4-pyridyl)imidazole,C090942,,gene_inferred,FOXP3,79.78,27,27965764|29317916
Asthma,4-(4-fluorophenyl)-2-(4-hydroxyphenyl)-5-(4-pyridyl)imidazole,C090942,,gene_inferred,HMOX1,79.78,27,18048809
Asthma,4-(4-fluorophenyl)-2-(4-hydroxyphenyl)-5-(4-pyridyl)imidazole,C090942,,gene_inferred,HSD11B2,79.78,27,11932298
Asthma,4-(4-fluorophenyl)-2-(4-hydroxyphenyl)-5-(4-pyridyl)imidazole,C090942,,gene_inferred,ICAM1,79.78,27,17014439|25003170
Asthma,4-(4-fluorophenyl)-2-(4-hydroxyphenyl)-5-(4-pyridyl)imidazole,C090942,,gene_inferred,IL10,79.78,27,29317916
Asthma,4-(4-fluorophenyl)-2-(4-hydroxyphenyl)-5-(4-pyridyl)imidazole,C090942,,gene_inferred,IL1B,79.78,27,9176529
Asthma,4-(4-fluorophenyl)-2-(4-hydroxyphenyl)-5-(4-pyridyl)imidazole,C090942,,gene_inferred,IL4,79.78,27,18357729|33861987
Asthma,4-(4-fluorophenyl)-2-(4-hydroxyphenyl)-5-(4-pyridyl)imidazole,C090942,,gene_inferred,IL6,79.78,27,29902480
Asthma,4-(4-fluorophenyl)-2-(4-hydroxyphenyl)-5-(4-pyridyl)imidazole,C090942,,gene_inferred,MMP1,79.78,27,24469321
Asthma,4-(4-fluorophenyl)-2-(4-hydroxyphenyl)-5-(4-pyridyl)imidazole,C090942,,gene_inferred,MMP9,79.78,27,11742282|15131573
Asthma,4-(4-fluorophenyl)-2-(4-hydroxyphenyl)-5-(4-pyridyl)imidazole,C090942,,gene_inferred,NOS2,79.78,27,19800904
Asthma,4-(4-fluorophenyl)-2-(4-hydroxyphenyl)-5-(4-pyridyl)imidazole,C090942,,gene_inferred,NQO1,79.78,27,20049212
Asthma,4-(4-fluorophenyl)-2-(4-hydroxyphenyl)-5-(4-pyridyl)imidazole,C090942,,gene_inferred,PARP1,79.78,27,18261157
Asthma,4-(4-fluorophenyl)-2-(4-hydroxyphenyl)-5-(4-pyridyl)imidazole,C090942,,gene_inferred,PLAU,79.78,27,21912604
Asthma,4-(4-fluorophenyl)-2-(4-hydroxyphenyl)-5-(4-pyridyl)imidazole,C090942,,gene_inferred,PPP2CA,79.78,27,22205926
Asthma,4-(4-fluorophenyl)-2-(4-hydroxyphenyl)-5-(4-pyridyl)imidazole,C090942,,gene_inferred,SOD1,79.78,27,22867017
Asthma,4-(4-fluorophenyl)-2-(4-hydroxyphenyl)-5-(4-pyridyl)imidazole,C090942,,gene_inferred,SOD2,79.78,27,28208751
Asthma,4-(4-fluorophenyl)-2-(4-hydroxyphenyl)-5-(4-pyridyl)imidazole,C090942,,gene_inferred,TGFB1,79.78,27,16365456|19138248
Asthma,4-(4-fluorophenyl)-2-(4-hydroxyphenyl)-5-(4-pyridyl)imidazole,C090942,,gene_inferred,TNF,79.78,27,12356572|14681301|16456144|17450233|20049212|25960783
Asthma,4-(4-fluorophenyl)-2-(4-hydroxyphenyl)-5-(4-pyridyl)imidazole,C090942,,gene_inferred,VEGFA,79.78,27,11907124|15201500|19263519
Asthma,Luteolin,D047311,491-70-3,gene_inferred,AGER,71.61,28,33075463
Asthma,Luteolin,D047311,491-70-3,gene_inferred,ALOX5,71.61,28,
Asthma,Luteolin,D047311,491-70-3,gene_inferred,BCL2,71.61,28,18357729
Asthma,Luteolin,D047311,491-70-3,gene_inferred,CAT,71.61,28,18048809
Asthma,Luteolin,D047311,491-70-3,gene_inferred,CCL2,71.61,28,19373627
Asthma,Luteolin,D047311,491-70-3,gene_inferred,CYP2E1,71.61,28,28807506
Asthma,Luteolin,D047311,491-70-3,gene_inferred,HMOX1,71.61,28,18048809
Asthma,Luteolin,D047311,491-70-3,gene_inferred,ICAM1,71.61,28,17014439|25003170
Asthma,Luteolin,D047311,491-70-3,gene_inferred,IL10,71.61,28,29317916
Asthma,Luteolin,D047311,491-70-3,gene_inferred,IL13,71.61,28,22867017
Asthma,Luteolin,D047311,491-70-3,gene_inferred,IL1B,71.61,28,9176529
Asthma,Luteolin,D047311,491-70-3,gene_inferred,IL33,71.61,28,19198610|21804549|24241537|27472835|29067999
Asthma,Luteolin,D047311,491-70-3,gene_inferred,IL4,71.61,28,18357729|33861987
Asthma,Luteolin,D047311,491-70-3,gene_inferred,IL5,71.61,28,23266719|7540862
Asthma,Luteolin,D047311,491-70-3,gene_inferred,IL6,71.61,28,29902480
Asthma,Luteolin,D047311,491-70-3,gene_inferred,KRT19,71.61,28,15478392
Asthma,Luteolin,D047311,491-70-3,gene_inferred,MMP1,71.61,28,24469321
Asthma,Luteolin,D047311,491-70-3,gene_inferred,MMP9,71.61,28,11742282|15131573
Asthma,Luteolin,D047311,491-70-3,gene_inferred,NOS2,71.61,28,19800904
Asthma,Luteolin,D047311,491-70-3,gene_inferred,NQO1,71.61,28,20049212
Asthma,Luteolin,D047311,491-70-3,gene_inferred,PARP1,71.61,28,18261157
Asthma,Luteolin,D047311,491-70-3,gene_inferred,PTEN,71.61,28,17982072
Asthma,Luteolin,D047311,491-70-3,gene_inferred,SOD1,71.61,28,22867017
Asthma,Luteolin,D047311,491-70-3,gene_inferred,SOD2,71.61,28,28208751
Asthma,Luteolin,D047311,491-70-3,gene_inferred,TGFB1,71.61,28,16365456|19138248
Asthma,Luteolin,D047311,491-70-3,gene_inferred,TNF,71.61,28,12356572|14681301|16456144|17450233|20049212|25960783
Asthma,Luteolin,D047311,491-70-3,gene_inferred,TSLP,71.61,28,21804549
Asthma,Luteolin,D047311,491-70-3,gene_inferred,VEGFA,71.61,28,11907124|15201500|19263519
Asthma,Simvastatin,D019821,79902-63-9,gene_inferred,AGER,71.35,39,33075463
Asthma,Simvastatin,D019821,79902-63-9,gene_inferred,ARG1,71.35,39,19281908|19800904
Asthma,Simvastatin,D019821,79902-63-9,gene_inferred,BCL2,71.35,39,18357729
Asthma,Simvastatin,D019821,79902-63-9,gene_inferred,BGLAP,71.35,39,8429434
Asthma,Simvastatin,D019821,79902-63-9,gene_inferred,CAT,71.35,39,18048809
Asthma,Simvastatin,D019821,79902-63-9,gene_inferred,CCL2,71.35,39,19373627
Asthma,Simvastatin,D019821,79902-63-9,gene_inferred,CCL5,71.35,39,8534483
Asthma,Simvastatin,D019821,79902-63-9,gene_inferred,CD14,71.35,39,17607003
Asthma,Simvastatin,D019821,79902-63-9,gene_inferred,CLDN18,71.35,39,27215490
Asthma,Simvastatin,D019821,79902-63-9,gene_inferred,CTLA4,71.35,39,28807506
Asthma,Simvastatin,D019821,79902-63-9,gene_inferred,EDN1,71.35,39,16981460
Asthma,Simvastatin,D019821,79902-63-9,gene_inferred,FOXP3,71.35,39,27965764|29317916
Asthma,Simvastatin,D019821,79902-63-9,gene_inferred,GSTP1,71.35,39,11994713|16870661|18988661|24117884|29411558
Asthma,Simvastatin,D019821,79902-63-9,gene_inferred,HLA-DQB1,71.35,39,10792356
Asthma,Simvastatin,D019821,79902-63-9,gene_inferred,HMOX1,71.35,39,18048809
Asthma,Simvastatin,D019821,79902-63-9,gene_inferred,ICAM1,71.35,39,17014439|25003170
Asthma,Simvastatin,D019821,79902-63-9,gene_inferred,IL10,71.35,39,29317916
Asthma,Simvastatin,D019821,79902-63-9,gene_inferred,IL13,71.35,39,22867017
Asthma,Simvastatin,D019821,79902-63-9,gene_inferred,IL1B,71.35,39,9176529
Asthma,Simvastatin,D019821,79902-63-9,gene_inferred,IL1RL1,71.35,39,19198610|21150878|21804549|24241537|27472835
Asthma,Simvastatin,D019821,79902-63-9,gene_inferred,IL4,71.35,39,18357729|33861987
Asthma,Simvastatin,D019821,79902-63-9,gene_inferred,IL4R,71.35,39,25867440|33861987|36910341
Asthma,Simvastatin,D019821,79902-63-9,gene_inferred,IL6,71.35,39,29902480
