ChemicalID,ChemicalName,CasRN,CID,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,Complexity
C051309,doqualast,64019-03-0,68830,240.21,1.1,70.0,1,4,1,18,492.0
C029797,doxofylline,69975-86-6,50942,266.25,-0.9,76.9,0,5,2,19,398.0
D004642,Emodin,518-82-1,3220,270.24,2.7,94.8,3,5,0,20,434.0
D004731,Endotoxins,,53481793,5227.0,-14.8,2100.0,68,128,163,351,11000.0
D004731,Endotoxins,,53481793,5227.0,-14.8,2100.0,68,128,163,351,11000.0
C034347,enprofylline,41078-02-08,1676,194.19,0.3,78.1,2,3,2,14,268.0
D004809,Ephedrine,299-42-3,9294,165.23,0.9,32.3,2,2,3,12,121.0
C045651,epigallocatechin gallate,989-51-5,65064,458.4,1.2,197.0,8,11,4,33,667.0
D004837,Epinephrine,51-43-4,5816,183.2,-1.4,72.7,4,4,3,13,154.0
C036251,EPTC,759-94-4,12968,189.32,3.2,45.6,0,2,6,12,122.0
D015946,Ethylene Dibromide,106-93-4,7839,187.86,2.0,0.0,0,0,1,4,6.0
D005280,Fenoterol,13392-18-2,3343,303.35,2.0,93.0,5,5,6,22,310.0
D005280,Fenoterol,13392-18-2,3343,303.35,2.0,93.0,5,5,6,22,310.0
D016576,Fleroxacin,79660-72-3,3357,369.34,-0.1,64.1,1,9,4,26,595.0
C007734,flunisolide,,82153,434.5,2.5,93.1,2,7,2,31,910.0
D000068298,Fluticasone,,5311101,444.5,3.2,99.9,2,8,3,30,861.0
D000068297,Fluticasone-Salmeterol Drug Combination,,56841124,916.1,,188.0,5,14,22,64,1390.0
D005557,Formaldehyde,50-00-0,712,30.026,1.2,17.1,0,1,0,2,2.0
D000068759,Formoterol Fumarate,,53477580,804.9,,256.0,10,14,18,58,507.0
C572629,FPS-ZM1,,24752728,327.8,5.3,20.3,0,1,4,23,366.0
C105311,FR 173657,,5311108,592.5,4.5,114.0,2,6,9,41,939.0
D024504,gamma-Tocopherol,,92729,416.7,10.3,29.5,1,2,12,30,475.0
C007836,geraniol,624-15-7,637566,154.25,2.9,20.2,1,1,4,11,150.0
D005978,Glutathione,70-18-8,124886,307.33,-4.5,160.0,6,8,9,20,389.0
D006024,Glycopyrrolate,596-51-0,3494,318.4,3.1,46.5,1,3,5,23,424.0
D000097797,Glyphosate,,3496,169.07,-4.6,107.0,4,6,4,10,162.0
D006140,Guaifenesin,93-14-1,3516,198.22,1.4,58.9,2,4,5,14,151.0
D006221,Halothane,151-67-7,3562,197.38,2.3,0.0,0,3,0,7,60.4
D006533,Heptachlor,76-44-8,3589,373.3,4.3,0.0,0,0,0,17,467.0
D003932,Heroin,,5462328,369.4,1.5,65.1,0,6,4,27,692.0
D001556,Hexachlorocyclohexane,,727,290.8,3.8,0.0,0,0,0,12,104.0
D006632,Histamine,51-45-6,774,111.15,-0.7,54.7,2,2,2,8,64.7
D006854,Hydrocortisone,50-23-7,5754,362.5,1.6,94.8,3,5,2,26,684.0
D006862,Hydrogen Sulfide,########,402,34.08,0.5,1.0,1,1,0,1,0.0
D007052,Ibuprofen,15687-27-1,3672,206.28,3.5,37.3,1,2,4,15,203.0
D009241,Ipratropium,60205-81-4,657309,332.5,2.6,46.5,1,3,6,24,430.0
D007545,Isoproterenol,7683-59-2,3779,211.26,-0.6,72.7,4,4,4,15,187.0
D007660,Ketoprofen,22071-15-4,3825,254.28,3.1,54.4,1,3,4,19,331.0
D007665,Ketotifen,34580-13-7,3827,309.4,3.2,48.6,0,3,0,22,476.0
D064747,Lansoprazole,,3883,369.4,2.8,87.1,1,8,5,25,480.0
D007975,Leukotriene B4,71160-24-2,5280492,336.5,4.1,77.8,3,4,14,24,421.0
D017997,Leukotriene C4,72025-60-6,5280493,625.8,0.7,242.0,7,11,25,43,982.0
D017998,Leukotriene D4,73836-78-9,5280878,496.7,1.4,175.0,5,8,20,34,706.0
C000630836,LGM2605,,134694972,722.7,,320.0,14,18,11,50,507.0
D017336,Loratadine,79794-75-5,3957,382.9,5.2,42.4,0,3,2,27,569.0
D008294,Malathion,121-75-5,4004,330.4,2.4,128.0,0,8,11,19,341.0
D008628,Mercury,7439-97-6,23931,200.59,,0.0,0,0,0,1,0.0
D009921,Metaproterenol,0586-06-01,4086,211.26,0.7,72.7,4,4,4,15,177.0
D016210,Methacholine Chloride,62-51-1,6114,195.69,,26.3,0,3,4,12,138.0
D008727,Methotrexate,59-05-2,126941,454.4,-1.8,211.0,5,12,9,33,704.0
D008775,Methylprednisolone,83-43-2,6741,374.5,1.9,94.8,3,5,2,27,754.0
D008787,Metoclopramide,364-62-5,4168,299.79,2.6,67.6,2,4,7,20,300.0
D000068656,Mometasone Furoate,,441336,521.4,3.9,93.8,1,6,5,35,1020.0
C093875,montelukast,,5281040,586.2,7.7,95.7,2,5,12,41,891.0
D009151,Mustard Gas,505-60-2,10461,159.08,2.1,25.3,0,1,4,7,28.9
D017835,Nedocromil,69049-73-6,50294,371.3,2.2,121.0,2,8,5,27,753.0
D009529,Nicardipine,55985-32-5,4474,479.5,3.8,114.0,1,8,10,35,856.0
D009543,Nifedipine,21829-25-4,4485,346.3,2.2,110.0,1,7,5,25,608.0
D009566,Nitrates,,943,62.005,-1.4,62.9,0,3,0,4,18.8
D009569,Nitric Oxide,10102-43-9,945,31.014,0.2,40.9,1,2,0,2,2.0
D009585,Nitrogen Dioxide,10102-44-0,3032552,46.006,-0.3,30.4,0,2,0,3,7.5
C017590,oxitropium,30286-75-0,6917865,412.3,,59.1,1,5,6,25,472.0
D010126,Ozone,10028-15-6,24823,47.998,-1.7,41.1,0,2,0,3,4.8
D010269,Paraquat,4685-14-7,15939,186.25,1.7,7.8,0,0,1,14,145.0
D010278,Parathion,56-38-2,991,291.26,3.8,106.0,0,6,6,18,304.0
C030856,pendimethalin,40487-42-1,38479,281.31,5.2,104.0,1,5,4,20,349.0
C101816,perfluoro-n-nonanoic acid,375-95-1,67821,464.08,5.6,37.3,1,19,7,28,615.0
C076994,perfluorooctane sulfonic acid,1763-23-1,74483,500.13,5.0,62.8,1,20,7,29,727.0
D026023,Permethrin,52645-53-1,40326,391.3,6.5,35.5,0,3,7,26,521.0
C031181,phenanthrene,85-01-8,995,178.23,4.5,0.0,0,0,0,14,174.0
D010634,Phenobarbital,50-06-6,4763,232.23,1.5,75.3,2,3,2,17,339.0
D010702,Phorate,0298-02-02,4790,260.4,3.6,101.0,0,5,8,13,156.0
D058988,Phosphodiesterase 4 Inhibitors,,656969,289.29,2.7,89.9,0,5,4,21,398.0
C043103,phthalic anhydride,85-44-9,6811,148.11,1.3,43.4,0,3,0,11,187.0
D010972,Platelet Activating Factor,,108156,523.7,6.5,94.1,0,7,26,35,546.0
C047681,pranlukast,,4887,481.5,4.2,119.0,2,7,9,36,778.0
D011239,Prednisolone,50-24-8,5755,360.4,1.6,94.8,3,5,2,26,724.0
D011241,Prednisone,53-03-2,5865,358.4,1.5,91.7,2,5,2,26,764.0
D017265,Procaterol,72332-33-3,688563,290.36,1.5,81.6,4,4,5,21,397.0
D011433,Propranolol,525-66-6,4946,259.34,3.0,41.5,2,3,6,19,257.0
C432165,pyrazolanthrone,,8515,220.23,2.7,45.8,1,2,0,17,343.0
C030984,pyrene,129-00-0,31423,202.25,4.9,0.0,0,0,0,16,217.0
D000077185,Resveratrol,,445154,228.24,3.1,60.7,3,3,2,17,246.0
C424423,Roflumilast,,449193,403.2,4.6,60.5,1,6,7,26,475.0
C099445,S 28463,,159603,314.4,1.3,86.2,2,5,5,23,406.0
D020156,Salicylic Acid,,338,138.12,2.3,57.5,2,3,1,10,133.0
D000068299,Salmeterol Xinafoate,,56801,603.7,,139.0,6,8,17,44,629.0
C060230,seratrodast,,2449,354.4,4.4,71.4,1,4,8,26,633.0
D012980,Sodium Salicylate,54-21-7,16760658,160.1,,60.4,1,3,1,11,138.0
C012037,solasodine,126-17-0,442985,413.6,5.4,41.5,2,3,0,30,749.0
D013311,Streptozocin,18883-66-4,29327,265.22,-1.4,152.0,5,8,2,18,315.0
D013458,Sulfur Dioxide,########,1119,64.07,0.1,35.1,0,3,0,3,18.3
D013578,Synephrine,94-07-5,7172,167.2,-0.6,52.5,3,3,3,12,122.0
C028305,syringin,118-34-3,5316860,372.4,-1.3,138.0,5,9,7,26,432.0
D013645,Tartrazine,1934-21-0,16014,468.4,0.7,220.0,4,12,6,31,995.0
D013726,Terbutaline,23031-25-6,5403,225.28,0.9,72.7,4,4,4,16,205.0
D016593,Terfenadine,50679-08-08,5405,471.7,6.6,43.7,2,3,9,35,582.0
D013806,Theophylline,58-55-9,2153,180.16,0.0,69.3,1,3,0,13,267.0
D013806,Theophylline,58-55-9,2153,180.16,0.0,69.3,1,3,0,13,267.0
C095476,"theophylline, salbutamol drug combination",,2153,180.16,0.0,69.3,1,3,0,13,267.0
C095476,"theophylline, salbutamol drug combination",,2153,180.16,0.0,69.3,1,3,0,13,267.0
D013999,Timolol,26839-75-8,33624,316.42,1.8,108.0,2,8,7,21,310.0
D014051,"Toluene 2,4-Diisocyanate",584-84-9,11443,174.16,3.9,58.9,0,4,2,13,265.0
C012293,tranilast,53902-12-8,5282230,327.3,3.2,84.9,2,5,6,24,464.0
D014212,Tretinoin,302-79-4,444795,300.4,6.3,37.3,1,2,5,22,567.0
D014222,Triamcinolone Acetonide,76-25-5,6436,434.5,2.5,93.1,2,7,2,31,925.0
D014260,Triclosan,3380-34-5,5564,289.5,5.0,29.5,1,2,2,17,252.0
C015559,trimellitic anhydride,552-30-7,11089,192.12,0.8,80.7,1,5,1,14,308.0
D015662,"Trimethoprim, Sulfamethoxazole Drug Combination",8064-90-2,358641,543.6,,212.0,4,13,8,38,653.0
C010809,tulobuterol,41570-61-0,5606,227.73,2.3,32.3,2,2,4,15,191.0
C059141,verlukast,,6509849,515.1,5.3,121.0,1,6,11,34,693.0
D014801,Vitamin A,11103-57-4,445354,286.5,5.7,20.2,1,1,5,21,496.0
C062735,zafirlukast,107753-78-6,5717,575.7,5.5,124.0,2,6,9,41,1010.0
C063449,zileuton,132880-11-6,60490,236.29,1.6,94.8,2,3,2,16,275.0
D015032,Zinc,7440-66-6,23994,65.4,,0.0,0,0,0,1,0.0
C021183,"1,7-dimethylxanthine",611-59-6,4687,180.16,-0.2,67.2,1,3,0,13,267.0
C027576,4-hydroxy-2-nonenal,29343-52-0,5283344,156.22,1.7,37.3,1,2,6,11,119.0
D000086,Acetazolamide,59-66-5,1986,222.3,-0.3,152.0,2,7,2,13,297.0
C542859,aclidinium bromide,,11519741,564.6,,112.0,1,7,10,34,647.0
D000171,Acrolein,0107-02-08,7847,56.06,0.0,17.1,0,1,1,4,30.3
D002233,Carbocysteine,2387-59-9,1080,179.2,-3.1,126.0,3,6,5,11,161.0
C031180,chrysene,0218-01-09,9171,228.3,5.7,0.0,0,0,0,18,264.0
D017291,Clarithromycin,81103-11-9,84029,748.0,3.2,183.0,4,14,8,52,1190.0
D003404,Creatinine,60-27-5,588,113.12,-1.8,58.7,1,1,0,8,151.0
C506365,Cyclohexane,,8078,84.16,3.4,0.0,0,0,0,6,15.5
C574213,dilmapimod,,10297982,456.4,3.0,98.6,3,9,6,33,702.0
D004656,Enalapril,75847-73-3,5388962,376.4,-0.1,95.9,2,6,10,27,519.0
D000077591,Eucalyptol,470-82-6,2758,154.25,2.5,9.2,0,1,0,11,164.0
C030809,"fenoterol, ipratropium drug combination",,3343,303.35,2.0,93.0,5,5,6,22,310.0
C030809,"fenoterol, ipratropium drug combination",,3343,303.35,2.0,93.0,5,5,6,22,310.0
D007650,Ketanserin,74050-98-9,3822,395.4,2.6,69.7,1,5,5,29,627.0
D009638,Norepinephrine,51-41-2,439260,169.18,-1.2,86.7,4,4,2,12,142.0
C542398,PH 797804,,22049997,477.3,4.2,58.6,1,5,5,30,742.0
C003237,proxyphylline,603-00-9,4977,238.24,-0.8,78.7,1,4,2,17,348.0
D011794,Quercetin,117-39-5,5280343,302.23,1.5,127.0,5,7,1,22,488.0
C583570,revefenacin,,11753673,597.7,4.1,108.0,2,6,11,44,918.0
D019821,Simvastatin,79902-63-9,54454,418.6,4.7,72.8,1,5,7,30,706.0
D013749,Tetrachlorodibenzodioxin,1746-01-06,15625,322.0,6.4,18.5,0,2,0,18,258.0
D000069447,Tiotropium Bromide,,5487426,472.4,,116.0,1,7,5,27,564.0
C003330,trospium chloride,10405-02-04,5284631,428.0,,46.5,1,4,5,30,553.0
