ChemicalID,ChemicalName,CasRN,CID,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,Complexity
C043836,naphthalan,37229-16-6,588214,170.21,2.4,9.2,0,1,0,13,172.0
C005274,naringin,10236-47-2,442428,580.5,-0.5,225.0,8,14,6,41,884.0
D009525,Niacin,,938,123.11,0.4,50.2,1,3,1,9,114.0
D009532,Nickel,7440-02-0,935,58.693,,0.0,0,0,0,1,0.0
C028007,nickel monoxide,1313-99-1,14805,74.693,,17.1,0,1,0,2,2.0
C029938,nickel sulfate,7786-81-4,24586,154.76,,88.6,0,4,0,6,62.2
D010100,Oxygen,7782-44-7,977,31.999,-1.1,34.1,0,2,0,2,0.0
D017239,Paclitaxel,,36314,853.9,2.5,221.0,4,14,14,62,1790.0
D000068437,Pemetrexed,,135410875,427.4,0.2,187.0,6,7,9,31,748.0
D010400,Penicillin G,61-33-6,5904,334.4,1.8,112.0,2,5,4,23,530.0
D010406,Penicillins,,2349,334.4,1.8,112.0,2,5,4,23,530.0
C036567,perfluorodecanoic acid,335-76-2,9555,514.08,6.3,37.3,1,21,8,31,701.0
D010615,Phenacetin,62-44-2,4754,179.22,1.6,38.3,1,2,3,13,162.0
D010878,Piperacillin,61477-96-1,43672,517.6,0.5,182.0,3,8,6,36,982.0
D010894,Piroxicam,36322-90-4,54676228,331.3,3.1,108.0,2,6,2,23,611.0
D011791,Quartz,14808-60-7,24261,60.084,,34.1,0,2,0,3,18.3
D011791,Quartz,14808-60-7,24261,60.084,,34.1,0,2,0,3,18.3
C062940,quinupristin-dalfopristin,126602-89-9,25199981,1713.1,,441.0,6,25,17,121,3350.0
D019782,Riluzole,1744-22-5,5070,234.2,3.6,76.4,1,7,1,15,238.0
D000077154,Rosiglitazone,,77999,357.4,3.1,96.8,1,6,7,25,468.0
C000626046,RU.521,,135397653,415.2,4.1,87.3,2,5,2,28,732.0
C076944,salvianolic acid B,115939-25-8,6451084,718.6,4.0,278.0,9,16,14,52,1290.0
D000068677,Sildenafil Citrate,,135413523,666.7,,250.0,5,15,12,46,1070.0
D012822,Silicon Dioxide,7631-86-9,24261,60.084,,34.1,0,2,0,3,18.3
D012822,Silicon Dioxide,7631-86-9,24261,60.084,,34.1,0,2,0,3,18.3
D012835,Silver Nitrate,7761-88-8,24470,169.873,,62.9,0,3,0,5,18.8
D020123,Sirolimus,,5284616,914.2,6.0,195.0,3,13,6,65,1760.0
D018038,Sodium Selenite,10102-18-8,24934,172.95,,63.2,0,3,0,6,18.8
C525002,ST2825,,24808138,591.5,3.4,147.0,2,6,7,39,966.0
D013256,Steroids,,139082353,400.6,5.3,23.6,0,2,3,29,684.0
D013307,Streptomycin,57-92-1,19649,581.6,-8.0,336.0,12,15,9,40,940.0
D020058,Styrene,,7501,104.15,2.9,0.0,0,0,1,8,68.1
D012460,Sulfasalazine,599-79-1,5339,398.4,-0.7,150.0,3,9,6,28,657.0
D013654,Taurine,107-35-7,1123,125.15,-4.1,88.8,2,4,2,7,120.0
C009495,titanium dioxide,13463-67-7,26042,79.866,,34.1,0,2,0,3,18.3
D014031,Tobramycin,32986-56-4,36294,467.5,-6.2,268.0,10,14,6,32,609.0
C001899,triptolide,38748-32-2,107985,360.4,0.2,84.1,1,6,1,26,819.0
C011765,troclosene,2782-57-2,16726,197.96,0.4,69.7,1,3,0,11,220.0
D014414,Tungsten,7440-33-7,23964,183.84,,0.0,0,0,0,1,0.0
D014580,Ursodeoxycholic Acid,128-13-2,31401,392.6,4.9,77.8,3,4,4,28,605.0
C070272,valspodar,121584-18-7,5281884,1214.6,7.7,276.0,4,12,15,86,2410.0
D014639,Vanadium,7440-62-2,23990,50.9415,,0.0,0,0,0,1,0.0
D014640,Vancomycin,1404-90-6,14969,1449.2,-2.6,530.0,19,26,13,101,2960.0
D000069470,Venlafaxine Hydrochloride,,62923,313.9,,32.7,2,3,5,21,279.0
D014747,Vinblastine,865-21-4,13342,811.0,3.7,154.0,3,12,10,59,1700.0
D065819,Voriconazole,,71616,349.31,1.5,76.7,1,8,5,25,448.0
D000077337,Vorinostat,,5311,264.32,1.9,78.4,3,3,8,19,276.0
C085514,wogonin,632-85-9,5281703,284.26,3.0,76.0,2,5,2,21,426.0
C023616,zinc chromate,13530-65-9,26089,181.4,,80.3,0,4,0,6,62.2
D015034,Zinc Oxide,1314-13-2,14806,81.4,,17.1,0,1,0,2,2.0
D019287,Zinc Sulfate,7733-02-0,24424,161.4,,88.6,0,4,0,6,62.2
D047310,Apigenin,520-36-5,5280443,270.24,1.7,87.0,3,5,1,20,410.0
D016589,Astemizole,68844-77-9,2247,458.6,6.0,42.3,1,5,8,34,599.0
D001280,Atrazine,1912-24-9,2256,215.68,2.6,62.7,2,5,4,14,166.0
C002003,bentazone,25057-89-0,2328,240.28,2.8,74.9,1,4,1,16,385.0
C051082,beta-eudesmol,473-15-4,91457,222.37,3.7,20.2,1,1,1,16,292.0
C004600,bufotalin,471-95-4,12302120,444.6,2.5,93.1,2,6,3,32,878.0
D017332,Cetirizine,83881-51-0,2678,388.9,1.7,53.0,1,5,8,27,443.0
D004390,Chlorpyrifos,2921-88-2,2730,350.6,5.3,72.7,0,5,6,18,303.0
C121345,desloratadine,,124087,310.8,4.5,24.9,1,2,0,22,425.0
D003996,Dicamba,1918-00-9,3030,221.03,2.2,46.5,1,3,2,13,198.0
D004051,Diethylhexyl Phthalate,117-81-7,8343,390.6,7.4,52.6,0,4,16,28,394.0
D004117,Dimethoate,60-51-5,3082,229.3,0.8,105.0,1,5,5,12,191.0
D017308,Etodolac,41340-25-4,3308,287.35,2.8,62.3,2,3,4,21,399.0
C093230,fexofenadine,,3348,501.7,3.0,81.0,3,5,10,37,678.0
C085278,hydroxysafflor yellow A,146087-19-6,6443665,612.5,-3.5,295.0,12,16,6,43,1160.0
C472067,levocetirizine,130018-77-8,1549000,388.9,1.7,53.0,1,5,8,27,443.0
C479069,mono(2-ethyl-5-hydroxyhexyl) phthalate,,170295,294.34,2.5,83.8,2,5,9,21,342.0
C080276,mono(2-ethyl-5-oxohexyl)phthalate,40321-98-0,119096,292.33,2.0,80.7,1,5,9,21,377.0
C012655,nimesulide,51803-78-2,4495,308.31,2.6,110.0,1,6,4,21,450.0
C025256,nonylphenol,25154-52-3,67296,220.35,6.2,20.2,1,1,8,16,156.0
D010109,Oxymetazoline,1491-59-4,4636,260.37,2.9,44.6,2,2,3,19,345.0
D010846,Picloram,########,15965,241.5,2.2,76.2,2,4,1,13,216.0
D011722,Pyrethrins,,60202781,700.9,,113.0,0,8,16,51,1390.0
D019257,Quinpirole,85760-74-3,54562,219.33,2.3,31.9,1,2,2,16,243.0
C063119,ramatroban,116649-85-5,123879,416.5,2.9,96.8,2,6,6,29,689.0
C025759,saikosaponin D,,107793,781.0,2.5,208.0,8,13,6,55,1490.0
D012839,Simazine,122-34-9,5216,201.66,2.2,62.7,2,5,4,13,131.0
C032742,triclopyr,55335-06-03,41428,256.5,3.0,59.4,1,4,3,14,216.0
D014274,Trifluralin,1582-09-08,5569,335.28,5.3,94.9,0,8,5,23,392.0
D014859,Warfarin,81-81-2,54678486,308.3,2.7,63.6,1,4,4,23,501.0
D002066,Busulfan,55-98-1,2478,246.3,-0.5,104.0,0,6,7,14,293.0
D003609,Dactinomycin,50-76-0,457193,1255.4,3.8,356.0,5,18,8,90,3030.0
D005047,Etoposide,33419-42-0,36462,588.6,0.6,161.0,3,13,5,42,969.0
D006918,Hydroxyurea,0127-07-01,3657,76.055,-1.8,75.4,3,2,0,5,42.9
D007069,Ifosfamide,3778-73-2,3690,261.08,0.9,41.6,1,4,5,14,218.0
D008130,Lomustine,13010-47-4,3950,233.69,2.8,61.8,1,3,3,15,219.0
C023617,"pregna-4,17-diene-3,16-dione",95975-55-6,6450278,312.4,3.9,34.1,0,2,0,23,640.0
C048629,strontium chromate,########,24599,203.61,,80.3,0,4,0,6,62.2
D014750,Vincristine,,5978,825.0,2.8,171.0,3,12,10,60,1750.0
D014751,Vindesine,53643-48-4,40839,753.9,2.7,165.0,5,10,7,55,1570.0
