ChemicalName,KEGG_ID,Disease,shared_pathways,jaccard,link_type
fexofenadine,C06999,"Carcinoma, Bronchogenic",1,0.2,novel_candidate
Nitric Oxide,C00533,Pneumonia,39,0.3171,known
Cyclic AMP,C00575,Pneumonia,28,0.1582,novel_candidate
"Cholesterol, Dietary",C00187,Pneumonia,20,0.1626,known
"1,6-hexamethylene diisocyanate",C00001,Pneumonia,16,0.1301,known
"lipopolysaccharide, Escherichia coli O111 B4",C00338,Pneumonia,14,0.1138,known
Adenosine,C00002,Pneumonia,13,0.0935,novel_candidate
Carbon,C00011,Pneumonia,13,0.1,novel_candidate
Oxygen,C00007,Pneumonia,11,0.0894,known
Acetylcholine,C01996,Pneumonia,7,0.053,novel_candidate
Norepinephrine,C00547,Pneumonia,7,0.0526,novel_candidate
Glutathione,C00051,Pneumonia,6,0.048,novel_candidate
Hydrocortisone,C00735,Pneumonia,6,0.0476,novel_candidate
Taurine,C00245,Pneumonia,5,0.0407,known
ceric oxide,C00258,Pneumonia,5,0.0407,known
Acetaldehyde,C00084,Pneumonia,4,0.0301,novel_candidate
Manganese,C00034,Pneumonia,4,0.0325,known
Sirolimus,C07909,Pneumonia,4,0.0325,known
Zinc Sulfate,C00038,Pneumonia,4,0.0325,known
Acrolein,C01471,Pneumonia,3,0.0244,known
Carbon Monoxide,C00237,Pneumonia,3,0.0242,novel_candidate
Farnesol,C01126,Pneumonia,3,0.0244,known
Histamine,C00388,Pneumonia,3,0.0231,novel_candidate
Hydrogen Sulfide,C00283,Pneumonia,3,0.0244,novel_candidate
Leukotriene B4,C02165,Pneumonia,3,0.0236,novel_candidate
Niacin,C00153,Pneumonia,3,0.0244,known
nickel sulfate,C00291,Pneumonia,3,0.0244,known
Vancomycin,C06689,Pneumonia,3,0.0244,known
"3-(2,4-diamino-6-(3-hydroxyphenyl)pteridin-7-yl)phenol",C00398,Pneumonia,2,0.0161,novel_candidate
"4,4'-diphenylmethane diisocyanate",C00004,Pneumonia,2,0.016,novel_candidate
4-hydroxy-2-nonenal,C21642,Pneumonia,2,0.0163,novel_candidate
Betaine,C00318,Pneumonia,2,0.0161,novel_candidate
Capsaicin,C06866,Pneumonia,2,0.0163,known
Erythromycin,C01912,Pneumonia,2,0.0163,known
Formaldehyde,C00067,Pneumonia,2,0.0163,known
Hyaluronic Acid,C00518,Pneumonia,2,0.0163,novel_candidate
Leukotriene C4,C02166,Pneumonia,2,0.0157,novel_candidate
Methotrexate,C01937,Pneumonia,2,0.0163,known
Nicotine,C00745,Pneumonia,2,0.0157,novel_candidate
Paclitaxel,C07394,Pneumonia,2,0.0163,known
Quercetin,C00389,Pneumonia,2,0.016,novel_candidate
Resveratrol,C03582,Pneumonia,2,0.0161,novel_candidate
Salicylic Acid,C00805,Pneumonia,2,0.0156,novel_candidate
Sulfur Dioxide,C09306,Pneumonia,2,0.0163,known
Tetrachlorodibenzodioxin,C07557,Pneumonia,2,0.016,novel_candidate
Vinblastine,C07201,Pneumonia,2,0.0163,known
Vitamin A,C00072,Pneumonia,2,0.0159,novel_candidate
angiotensin I (1-7),C15850,Pneumonia,2,0.0163,known
naringin,C09789,Pneumonia,2,0.0163,known
"phosphatidylinositol 3,4-diphosphate",C01194,Pneumonia,2,0.0153,novel_candidate
pyrene,C07535,Pneumonia,2,0.0159,novel_candidate
"1,7-dimethylxanthine",C13747,Pneumonia,1,0.0081,novel_candidate
"2,4-Dichlorophenoxyacetic Acid",C03664,Pneumonia,1,0.0081,known
4-dichlorobenzene,C07092,Pneumonia,1,0.0081,novel_candidate
Acetaminophen,C06804,Pneumonia,1,0.0081,novel_candidate
Amphotericin B,C06573,Pneumonia,1,0.0081,known
Apigenin,C01460,Pneumonia,1,0.0081,novel_candidate
Aspirin,C01405,Pneumonia,1,0.0081,novel_candidate
Bleomycin,C01895,Pneumonia,1,0.0081,known
Cadmium,C01413,Pneumonia,1,0.0081,known
Caffeine,C07481,Pneumonia,1,0.0081,known
Ofloxacin,C05349,Pneumonia,1,0.0081,known
Cobalt,C00175,Pneumonia,1,0.0081,known
