ChemicalName,KEGG_ID,Disease,shared_pathways,sig_weight,compound_class,link_type,pathways
Apigenin,C01477,Pneumonia,1,1.483,drug,novel_candidate,Degradation of flavonoids
Naringin,C09789,Pneumonia,1,1.483,drug,known,Degradation of flavonoids
Formaldehyde,C00067,Pneumonia,1,1.445,environmental,known,Chloroalkane and chloroalkene degradation
Sulfur dioxide,C09306,Pneumonia,1,1.406,environmental,known,Sulfur cycle
Methotrexate,C01937,"Pulmonary Disease, Chronic Obstructive",2,12.849,drug,known,Bile secretion; Folate transport and metabolism
Acetylcholine,C01996,"Pulmonary Disease, Chronic Obstructive",2,12.849,endogenous,novel_candidate,Bile secretion; Folate transport and metabolism
Glutathione,C00051,"Pulmonary Disease, Chronic Obstructive",1,10.773,endogenous,novel_candidate,Bile secretion
Aspirin,C01405,"Pulmonary Disease, Chronic Obstructive",1,10.773,other,novel_candidate,Bile secretion
Etoposide,C01576,"Pulmonary Disease, Chronic Obstructive",1,10.773,drug,novel_candidate,Bile secretion
Leukotriene B4,C02165,"Pulmonary Disease, Chronic Obstructive",1,10.773,endogenous,novel_candidate,Bile secretion
Leukotriene C4,C02166,"Pulmonary Disease, Chronic Obstructive",1,10.773,endogenous,novel_candidate,Bile secretion
Penicillin G,C05551,"Pulmonary Disease, Chronic Obstructive",1,10.773,drug,novel_candidate,Bile secretion
Acetaminophen,C06804,"Pulmonary Disease, Chronic Obstructive",1,10.773,other,novel_candidate,Bile secretion
Fexofenadine,C06999,"Pulmonary Disease, Chronic Obstructive",1,10.773,drug,novel_candidate,Bile secretion
Paclitaxel,C07394,"Pulmonary Disease, Chronic Obstructive",1,10.773,other,novel_candidate,Bile secretion
Nitric oxide,C00533,"Pulmonary Disease, Chronic Obstructive",2,4.948,endogenous,novel_candidate,Hepatocellular carcinoma; Pathways in cancer
Acrolein,C01471,"Pulmonary Disease, Chronic Obstructive",2,4.948,environmental,known,Hepatocellular carcinoma; Pathways in cancer
Resveratrol,C03582,"Pulmonary Disease, Chronic Obstructive",2,4.707,drug,known,Longevity regulating pathway; Longevity regulating pathway - worm
Sirolimus,C07909,"Pulmonary Disease, Chronic Obstructive",2,4.707,other,novel_candidate,Longevity regulating pathway; Longevity regulating pathway - worm
Betaine,C00719,"Pulmonary Disease, Chronic Obstructive",1,2.076,endogenous,novel_candidate,Folate transport and metabolism
Theophylline,C07130,"Pulmonary Disease, Chronic Obstructive",1,1.994,drug,known,Caffeine metabolism
Caffeine,C07481,"Pulmonary Disease, Chronic Obstructive",1,1.994,other,novel_candidate,Caffeine metabolism
"1,7-Dimethylxanthine",C13747,"Pulmonary Disease, Chronic Obstructive",1,1.994,drug,known,Caffeine metabolism
Quercetin,C00389,"Pulmonary Disease, Chronic Obstructive",1,1.483,drug,known,Degradation of flavonoids
Apigenin,C01477,"Pulmonary Disease, Chronic Obstructive",1,1.483,drug,novel_candidate,Degradation of flavonoids
Naringin,C09789,"Pulmonary Disease, Chronic Obstructive",1,1.483,drug,novel_candidate,Degradation of flavonoids
Hydrogen sulfide,C00283,"Pulmonary Disease, Chronic Obstructive",1,1.406,other,novel_candidate,Sulfur cycle
Sulfur dioxide,C09306,"Pulmonary Disease, Chronic Obstructive",1,1.406,environmental,known,Sulfur cycle
Glutathione,C00051,"Rhinitis, Allergic",1,10.773,endogenous,novel_candidate,Bile secretion
Aspirin,C01405,"Rhinitis, Allergic",1,10.773,other,novel_candidate,Bile secretion
Etoposide,C01576,"Rhinitis, Allergic",1,10.773,drug,novel_candidate,Bile secretion
Methotrexate,C01937,"Rhinitis, Allergic",1,10.773,drug,novel_candidate,Bile secretion
Acetylcholine,C01996,"Rhinitis, Allergic",1,10.773,endogenous,novel_candidate,Bile secretion
Leukotriene B4,C02165,"Rhinitis, Allergic",1,10.773,endogenous,novel_candidate,Bile secretion
Leukotriene C4,C02166,"Rhinitis, Allergic",1,10.773,endogenous,novel_candidate,Bile secretion
Penicillin G,C05551,"Rhinitis, Allergic",1,10.773,drug,novel_candidate,Bile secretion
Acetaminophen,C06804,"Rhinitis, Allergic",1,10.773,other,novel_candidate,Bile secretion
Fexofenadine,C06999,"Rhinitis, Allergic",1,10.773,drug,known,Bile secretion
Paclitaxel,C07394,"Rhinitis, Allergic",1,10.773,other,novel_candidate,Bile secretion
Nicotine,C00745,"Rhinitis, Allergic",1,7.5,environmental,novel_candidate,Chemical carcinogenesis - receptor activation
DDT,C04623,"Rhinitis, Allergic",1,7.5,environmental,novel_candidate,Chemical carcinogenesis - receptor activation
Phenobarbital,C07434,"Rhinitis, Allergic",1,7.5,drug,novel_candidate,Chemical carcinogenesis - receptor activation
Bisphenol A,C13624,"Rhinitis, Allergic",1,7.5,environmental,known,Chemical carcinogenesis - receptor activation
Quercetin,C00389,"Rhinitis, Allergic",1,1.483,drug,novel_candidate,Degradation of flavonoids
Apigenin,C01477,"Rhinitis, Allergic",1,1.483,drug,known,Degradation of flavonoids
Naringin,C09789,"Rhinitis, Allergic",1,1.483,drug,novel_candidate,Degradation of flavonoids
Hydrogen sulfide,C00283,"Rhinitis, Allergic",1,1.406,other,novel_candidate,Sulfur cycle
Sulfur dioxide,C09306,"Rhinitis, Allergic",1,1.406,environmental,known,Sulfur cycle
