DiseaseName,# ChemicalName,ChemicalID,CasRN,DirectEvidence,PubMedIDs
Asthma,Leukotriene C4,D017997,72025-60-6,marker/mechanism,12816731
Asthma,Leukotriene D4,D017998,73836-78-9,marker/mechanism,8222486|9690572
Asthma,Leukotrienes,D015289,,marker/mechanism,8303624
Asthma,LGM2605,C000630836,,therapeutic,31627909
Asthma,Lipid Peroxides,D008054,,marker/mechanism,10921764
Asthma,Loratadine,D017336,79794-75-5,therapeutic,9196086
Asthma,Malathion,D008294,121-75-5,marker/mechanism,17932376|19541724
Asthma,Mercury,D008628,7439-97-6,marker/mechanism,20562055
Asthma,Metaproterenol,D009921,0586-06-01,therapeutic,3513564|3794877|6343341
Asthma,Methacholine Chloride,D016210,62-51-1,marker/mechanism,22484343|31627909|6435488
Asthma,Methotrexate,D008727,59-05-2,therapeutic,1450620|1557242
Asthma,Methylprednisolone,D008775,83-43-2,therapeutic,17087335|2721092|8538677
Asthma,methylxanthine,C008514,28109-92-4,therapeutic,7915431
Asthma,Metoclopramide,D008787,364-62-5,marker/mechanism,12604014
Asthma,Mometasone Furoate,D000068656,,therapeutic,19441609
Asthma,montelukast,C093875,,therapeutic,10075616|10588598|10852428|10922144|11167954|11422148|12464949|16293801|17895592|17943569|19667530|19681236|20332717|22059882|30696844
Asthma,Mustard Gas,D009151,505-60-2,marker/mechanism,10378619
Asthma,Nedocromil,D017835,69049-73-6,therapeutic,1329582
Asthma,Neuromuscular Blocking Agents,D009466,,therapeutic,10378560
Asthma,Nicardipine,D009529,55985-32-5,therapeutic,2413722
Asthma,Nifedipine,D009543,21829-25-4,therapeutic,6364879
Asthma,Nitrates,D009566,,marker/mechanism,32816747|37162236
Asthma,Nitric Oxide,D009569,10102-43-9,marker/mechanism,16696591|16981460|20123607
Asthma,Nitrogen Dioxide,D009585,10102-44-0,marker/mechanism,17903240|18941591|20049212|22357138|22763046|24659182|25012280|26731790|26996571|37162236
Asthma,Nitrogen Oxides,D009589,,marker/mechanism,37162236
Asthma,Organophosphates,D010755,,marker/mechanism,17932376
Asthma,Ovalbumin,D010047,9006-59-1,marker/mechanism,22484343|27117312|28392331|29067999|29545090|30696844|30969813|32012983|33146439|33640443|34146326|34152691|34285515|34537180|34774659|35335934|35481609|35982617|36457260|36547818|37004399
Asthma,ovalbumin-alum,C446402,,marker/mechanism,27884791|29540228|29724254
Asthma,oxitropium,C017590,30286-75-0,therapeutic,3074291
Asthma,Ozone,D010126,10028-15-6,marker/mechanism,16373670|17854713|18795172|23434795|25012280|26647366|26731790|31627909|34285515
Asthma,Paraquat,D010269,4685-14-7,marker/mechanism,19541724
Asthma,Parathion,D010278,56-38-2,marker/mechanism,17932376|19541724
Asthma,Particulate Matter,D052638,,marker/mechanism,15121522|16425660|18795172|19270802|19337525|20123607|20667130|24117884|24365139|25491235|26452298|26731790|26734713|27385358|29540228|31941512|32816747|34774659|35335934|37162236
Asthma,pendimethalin,C030856,40487-42-1,marker/mechanism,23670403
Asthma,perfluoro-n-nonanoic acid,C101816,375-95-1,marker/mechanism,31730470
Asthma,perfluorooctane sulfonic acid,C076994,1763-23-1,marker/mechanism,32485600
Asthma,Permethrin,D026023,52645-53-1,marker/mechanism,17932376
Asthma,Pesticides,D010575,,marker/mechanism,15121522|17932376|7808348
Asthma,phenanthrene,C031181,85-01-8,marker/mechanism,24407477
Asthma,Phenobarbital,D010634,50-06-6,therapeutic,208429
Asthma,Phorate,D010702,0298-02-02,marker/mechanism,17932376|19541724
Asthma,"phosphatidylinositol 3,4-diphosphate",C060980,,marker/mechanism,22986054
Asthma,Phosphodiesterase 4 Inhibitors,D058988,,therapeutic,17569694
Asthma,phthalic anhydride,C043103,85-44-9,marker/mechanism,3681491
Asthma,Plant Preparations,D028321,,therapeutic,15330010
Asthma,Platelet Activating Factor,D010972,,marker/mechanism,32830409|8833165
Asthma,Polychlorinated Biphenyls,D011078,,marker/mechanism,22326254
Asthma,Polycyclic Aromatic Hydrocarbons,D011084,,marker/mechanism,33972693
Asthma,"polymeric 4,4'-diphenylmethane diisocyanate",C087867,,marker/mechanism,21237241
Asthma,pranlukast,C047681,,therapeutic,10069892|11393418|11527250|12153692|12360108|12489251|14584388|14650364|16270722|18430318|20332717|9071168|9303339|9513583
Asthma,Prednisolone,D011239,50-24-8,therapeutic,10069892|10639760|11968751|12171842|17477857|7443604
Asthma,Prednisone,D011241,53-03-2,therapeutic,10199381|11799343|12171842|18717146|3393124|3944744|5025095|7235434
Asthma,Procaterol,D017265,72332-33-3,therapeutic,2933998|2974263
Asthma,Propranolol,D011433,525-66-6,therapeutic,8687243
Asthma,pycnogenols,C024070,,therapeutic,15641632
Asthma,pyrazolanthrone,C432165,,therapeutic,33075463
Asthma,pyrene,C030984,129-00-0,marker/mechanism,23010230
Asthma,Quaternary Ammonium Compounds,D000644,,marker/mechanism,37162236
Asthma,Resveratrol,D000077185,,therapeutic,22986054|34774659
Asthma,Ribomunyl,C034206,,therapeutic,3453705
Asthma,Roflumilast,C424423,,therapeutic,16317827
Asthma,S 28463,C099445,,therapeutic,16361354
Asthma,Salicylic Acid,D020156,,marker/mechanism,6715990
Asthma,Salmeterol Xinafoate,D000068299,,therapeutic,10359889|10480584|11449530|11694805|12166584|12449667|15025036|1687131|16973987|22607479|9164358|9385125|9707465|9731027
Asthma,seratrodast,C060230,,therapeutic,12153692
Asthma,Smoke,D012906,,marker/mechanism,15121522|21705297|25491235|31520956
Asthma,Sodium Salicylate,D012980,54-21-7,marker/mechanism,1751016
Asthma,solasodine,C012037,126-17-0,therapeutic,36084726
Asthma,Solvents,D012997,,marker/mechanism,14959814
Asthma,Soot,D053260,,marker/mechanism,15121522|20123607|21216722
Asthma,Streptozocin,D013311,18883-66-4,marker/mechanism,36547818
Asthma,Sulfates,D013431,,marker/mechanism,37162236
Asthma,Sulfur Dioxide,D013458,########,marker/mechanism,19440507|20123607|22357138|26996571|37162236
Asthma,Synephrine,D013578,94-07-5,therapeutic,19363516
Asthma,syringin,C028305,118-34-3,therapeutic,33146439
Asthma,Tartrazine,D013645,1934-21-0,marker/mechanism,3894321
Asthma,Terbutaline,D013726,23031-25-6,marker/mechanism,1221498
Asthma,Terbutaline,D013726,23031-25-6,therapeutic,11729705|1273541|208429|2578971|2828249|2933998|3582466|3609189|3707814|3964360|4479294|628035|6327346|6364879|6586482|7140872|7148765|7211775|8112441|8968295|9759798
Asthma,Terfenadine,D016593,50679-08-08,therapeutic,8006312
Asthma,Theophylline,D013806,58-55-9,therapeutic,10596698|10916367|11758890|11951074|12070353|12113382|12355682|12734767|1424400|15370247|15645133|16083514|16270722|16430859|16569937|17130682|1758745|17943569|208429|2496015|2578971|2828249|3025113|3074291|3109801|3523664|3537092|3707814|6586482|7140872|7148765|7235434|7312482|7332913|7437783|8162974|8346082|8760775|9701106|9878995
Asthma,"theophylline, salbutamol drug combination",C095476,,therapeutic,2721092
Asthma,Timolol,D013999,26839-75-8,marker/mechanism,7402591
Asthma,Tobacco Smoke Pollution,D014028,,marker/mechanism,14959814|16425588|19826548|21572527|22357138|24380835|25003170|29664587|32816747
Asthma,"Toluene 2,4-Diisocyanate",D014051,584-84-9,marker/mechanism,10797510|10934080|11077013|11467998|11742282|12585506|12684321|12762349|15590890|15590891|15855793|16210060|16792590|170078|17015710|18394133|19187332|20032816|20888385|25929181|26089345|28329851|30261222|3040596|30517707|31070765|31577921|33075463|33711354|6091945|6091946|7684630|8156442
Asthma,tranilast,C012293,53902-12-8,therapeutic,2434109
Asthma,Tretinoin,D014212,302-79-4,therapeutic,16456186
Asthma,Triamcinolone Acetonide,D014222,76-25-5,therapeutic,10071519|10806605
Asthma,Triclosan,D014260,3380-34-5,marker/mechanism,33654271
Asthma,trimellitic anhydride,C015559,552-30-7,marker/mechanism,16141432
Asthma,"Trimethoprim, Sulfamethoxazole Drug Combination",D015662,8064-90-2,therapeutic,4430301
Asthma,tulobuterol,C010809,41570-61-0,therapeutic,15007912|15212190
Asthma,Vasodilator Agents,D014665,,therapeutic,21059121
Asthma,Vehicle Emissions,D001335,,marker/mechanism,15121522|15226151|17903240|20565827|21513554|21995638|24060272|24365139
Asthma,verlukast,C059141,,therapeutic,8303624
Asthma,Vitamin A,D014801,11103-57-4,marker/mechanism,16732791
