# ChemicalName,ChemicalID,CasRN,DiseaseName,DiseaseID,DirectEvidence,PubMedIDs
PNEUMONIA (205 compounds),,,,,,
Epoxy Compounds,D004852,,Pneumonia,MESH:D011014,marker/mechanism,12504350
Erythromycin,D004917,114-07-8,Pneumonia,MESH:D011014,therapeutic,10858333
Esculin,D004929,531-75-9,Pneumonia,MESH:D011014,therapeutic,39142713
Everolimus,D000068338,,Pneumonia,MESH:D011014,marker/mechanism,17346627
Farnesol,D005204,4602-84-0,Pneumonia,MESH:D011014,therapeutic,18793622
Fluoxetine,D005473,54910-89-3,Pneumonia,MESH:D011014,therapeutic,17477857
Formaldehyde,D005557,50-00-0,Pneumonia,MESH:D011014,marker/mechanism,21983654
Formoterol Fumarate,D000068759,,Pneumonia,MESH:D011014,therapeutic,20826145
Gefitinib,D000077156,,Pneumonia,MESH:D011014,marker/mechanism,20646869
Gemcitabine,D000093542,,Pneumonia,MESH:D011014,marker/mechanism,12365019|12367796
Gentamicins,D005839,,Pneumonia,MESH:D011014,therapeutic,11895059|16225114|4850936
Glucocorticoids,D005938,,Pneumonia,MESH:D011014,therapeutic,9187209
Glyphosate,D000097797,,Pneumonia,MESH:D011014,marker/mechanism,25172162
gossypin,C022944,652-78-8,Pneumonia,MESH:D011014,therapeutic,37148149
Hexadimethrine Bromide,D006583,05-04-9011,Pneumonia,MESH:D011014,therapeutic,32157350
Indomethacin,D007213,53-86-1,Pneumonia,MESH:D011014,therapeutic,21983654
Ipratropium,D009241,60205-81-4,Pneumonia,MESH:D011014,therapeutic,20826145
Iron,D007501,7439-89-6,Pneumonia,MESH:D011014,marker/mechanism,22198552
Lamotrigine,D000077213,84057-84-1,Pneumonia,MESH:D011014,marker/mechanism,16442685
Latex,D007840,,Pneumonia,MESH:D011014,marker/mechanism,18938192
Linezolid,D000069349,,Pneumonia,MESH:D011014,therapeutic,14520146|16735427
"lipopolysaccharide, E. coli O26-B6",C433788,,Pneumonia,MESH:D011014,marker/mechanism,20975550|22465845
"lipopolysaccharide, Escherichia coli O111 B4",C440499,,Pneumonia,MESH:D011014,marker/mechanism,33949057
Lipopolysaccharides,D008070,,Pneumonia,MESH:D011014,marker/mechanism,11605937|11907180|12224865|15863634|18938192|27302421|29055810|33865415|34978009|37148149|39142713
