Pathway ID,Pathway Name,k (input hits),K (pathway size),p-value,Compound IDs,FDR (BH),Significant,-log10(FDR)
path:map00190,Oxidative phosphorylation,1,12,0.11781833077357519,C00007,0.1679944582217916,False,0.7747050444848061
path:map01200,Carbon metabolism,3,115,0.11789084787494146,C00067;C00237;C00283,0.1679944582217916,False,0.7747050444848061
path:map04728,Dopaminergic synapse,1,12,0.11781833077357519,C00575,0.1679944582217916,False,0.7747050444848061
path:map01503,Cationic antimicrobial peptide (CAMP) resistance,1,13,0.12698933211587796,C00338,0.1776292498307986,False,0.7504855183200094
path:map04613,Neutrophil extracellular trap formation,1,13,0.12698933211587796,C00338,0.1776292498307986,False,0.7504855183200094
path:map01053,Biosynthesis of siderophore group nonribosomal peptides,1,13,0.12698933211587796,C00805,0.1776292498307986,False,0.7504855183200094
path:map00980,Metabolism of xenobiotics by cytochrome P450,3,121,0.13166499414748345,C00745;C07535;C11088,0.1830464552782087,False,0.7374386768781596
path:map05417,Lipid and atherosclerosis,1,14,0.1360654979520002,C00338,0.18466031864914315,False,0.7336264193578448
path:map05014,Amyotrophic lateral sclerosis,1,14,0.1360654979520002,C00533,0.18466031864914315,False,0.7336264193578448
path:map05131,Shigellosis,1,14,0.1360654979520002,C00338,0.18466031864914315,False,0.7336264193578448
path:map00642,Ethylbenzene degradation,1,14,0.1360654979520002,C07083,0.18466031864914315,False,0.7336264193578448
path:map05215,Prostate cancer,1,15,0.14504780373888862,C00735,0.19568579439329353,False,0.7084407003539073
path:map04075,Plant hormone signal transduction,1,16,0.15393721495383597,C00805,0.20645697064396826,False,0.6851704493787472
path:map00330,Arginine and proline metabolism,2,71,0.16829824182054462,C00533;C00791,0.22439765576072615,False,0.6489816843833396
path:map04723,Retrograde endocannabinoid signaling,1,19,0.18005758837051455,C00575,0.2345893151341561,False,0.6296917726294929
path:map04931,Insulin resistance,1,19,0.18005758837051455,C00533,0.2345893151341561,False,0.6296917726294929
path:map01055,Biosynthesis of vancomycin group antibiotics,1,19,0.18005758837051455,C06689,0.2345893151341561,False,0.6296917726294929
path:map05010,Alzheimer disease,1,19,0.18005758837051455,C00533,0.2345893151341561,False,0.6296917726294929
path:map05204,Chemical carcinogenesis - DNA adducts,2,78,0.19440712686170897,C07535;C19164,0.25184559616175933,False,0.59886563892725
path:map00350,Tyrosine metabolism,2,79,0.19818006834910926,C00547;C00788,0.25528279990732716,False,0.5929784455051068
path:map04925,Aldosterone synthesis and secretion,1,22,0.20537573090076247,C00575,0.26306554295153844,False,0.5799360332750452
path:map01502,Vancomycin resistance,1,24,0.22182094355897553,C06689,0.27636707722101866,False,0.5585136944123702
path:map00521,Streptomycin biosynthesis,1,24,0.22182094355897553,C00413,0.27636707722101866,False,0.5585136944123702
path:map01110,Biosynthesis of secondary metabolites,29,2401,0.2177922197252242,C00007;C00084;C00253;C00388;C00389;C00397;C00413;C00741;C00745;C00805;C01416;C01477;C01575;C01594;C01907;C01912;C02483;C03582;C06081;C06689;C06866;C06972;C07044;C07130;C07204;C07394;C07481;C09844;C13747,0.27636707722101866,False,0.5585136944123702
path:map04913,Ovarian steroidogenesis,1,24,0.22182094355897553,C00575,0.27636707722101866,False,0.5585136944123702
path:map00643,Styrene degradation,1,24,0.22182094355897553,C07083,0.27636707722101866,False,0.5585136944123702
path:map00363,Bisphenol degradation,1,25,0.22991615292448905,C13624,0.28489610253686687,False,0.5453134919971325
path:map00680,Methane metabolism,2,88,0.23246976815675094,C00067;C00237,0.2865032818364282,False,0.5428703989137358
path:map00930,Caprolactam degradation,1,26,0.2379275954503928,C11249,0.2885504880994125,False,0.5397781867211053
path:map04922,Glucagon signaling pathway,1,26,0.2379275954503928,C00575,0.2885504880994125,False,0.5397781867211053
path:map00945,"Stilbenoid, diarylheptanoid and gingerol biosynthesis",1,26,0.2379275954503928,C03582,0.2885504880994125,False,0.5397781867211053
path:map00791,Atrazine degradation,1,28,0.2537026198860602,C06551,0.3060539541482631,False,0.5142020051415037
path:map04216,Ferroptosis,1,29,0.2614678997703972,C00051,0.3137614797244766,False,0.5034003755036128
path:map00010,Glycolysis / Gluconeogenesis,1,31,0.27675817481555043,C00084,0.3303710149630654,False,0.48099806242243925
path:map00230,Purine metabolism,2,101,0.28249341740121325,C00212;C00575,0.33546093316394077,False,0.474358049263167
path:map00620,Pyruvate metabolism,1,32,0.2842848163264575,C00084,0.335839057629183,False,0.473868797398585
path:map00121,Secondary bile acid biosynthesis,1,36,0.3136202257978004,C07880,0.368584595267518,False,0.4334628197683722
path:map00622,Xylene degradation,1,38,0.3278362683888601,C00084,0.38136055710540867,False,0.4186642266473347
path:map00480,Glutathione metabolism,1,38,0.3278362683888601,C00051,0.38136055710540867,False,0.4186642266473347
path:map04977,Vitamin digestion and absorption,1,42,0.35539567034801817,C00473,0.41132087735709716,False,0.3858192465062008
path:map00720,Other carbon fixation pathways,1,44,0.36875091292260065,C00237,0.4246222633654189,False,0.3719972390836523
path:map00460,Cyanoamino acid metabolism,1,45,0.3753249594409495,C01594,0.4300205565454095,False,0.3665107830696014
path:map04974,Protein digestion and absorption,1,47,0.3882694480013062,C00388,0.43394820658969513,False,0.36256210213400986
path:map00900,Terpenoid backbone biosynthesis,1,47,0.3882694480013062,C06081,0.43394820658969513,False,0.36256210213400986
path:map00340,Histidine metabolism,1,47,0.3882694480013062,C00388,0.43394820658969513,False,0.36256210213400986
path:map00120,Primary bile acid biosynthesis,1,47,0.3882694480013062,C00245,0.43394820658969513,False,0.36256210213400986
path:map00650,Butanoate metabolism,1,47,0.3882694480013062,C00741,0.43394820658969513,False,0.36256210213400986
path:map00260,"Glycine, serine and threonine metabolism",1,50,0.4071875881783514,C00719,0.45287204929104447,False,0.3440244826141373
path:map00360,Phenylalanine metabolism,1,51,0.4133634055048502,C00084,0.4575090119179895,False,0.3396003468703043
path:map00907,"Pinene, camphor and geraniol degradation",1,55,0.4374332566341581,C09871,0.48103670748460975,False,0.3178217817348157
path:map01063,Biosynthesis of alkaloids derived from shikimate pathway,2,143,0.43884050507367905,C01575;C06866,0.48103670748460975,False,0.3178217817348157
path:map01240,Biosynthesis of cofactors,4,330,0.44915862720365485,C00051;C00253;C00473;C02483,0.4876579381068253,False,0.3118847019353616
path:map00440,Phosphonate and phosphinate metabolism,1,57,0.44909720219053867,C00084,0.4876579381068253,False,0.3118847019353616
path:map01232,Nucleotide metabolism,1,58,0.4548386514013932,C00212,0.4914844195237803,False,0.3084902451199405
path:map00626,Naphthalene degradation,1,60,0.4661436032826816,C00805,0.501324252587035,False,0.2998812849940777
path:map00902,Monoterpenoid biosynthesis,1,61,0.47170832715035904,C09844,0.5049272234285533,False,0.29677121344776564
path:map00943,Isoflavonoid biosynthesis,1,64,0.48805868679750253,C01477,0.5199877597655634,False,0.2840068793052755
path:map00630,Glyoxylate and dicarboxylate metabolism,1,67,0.5039056336583547,C00007,0.5343743463911854,False,0.27215439912564704
path:map01070,Biosynthesis of plant hormones,1,68,0.5090787584286599,C00805,0.5373609116746966,False,0.2697339278942786
path:map00470,D-Amino acid metabolism,1,69,0.5141982248670859,C00084,0.5402635726714082,False,0.2673943138250922
path:map00130,Ubiquinone and other terpenoid-quinone biosynthesis,1,74,0.5390098608222659,C02483,0.5637350837957643,False,0.24892493621977946
path:map00362,Benzoate degradation,1,77,0.5532875111299552,C00084,0.5760253540531041,False,0.23955840046042814
path:map00524,"Neomycin, kanamycin and gentamicin biosynthesis",1,81,0.5716424139332184,C00397,0.5924294108035172,False,0.2273633893260184
path:map00522,"Biosynthesis of 12-, 14- and 16-membered macrolides",1,87,0.597777513223096,C01912,0.6167116426012031,False,0.2099178526605619
path:map00627,Aminobenzoate degradation,1,88,0.6019764528215599,C06604,0.618246086681602,False,0.20883862391606253
path:map00140,Steroid hormone biosynthesis,1,100,0.6490883106962217,C00735,0.6636418602634016,False,0.17806622797010288
path:map00901,Indole alkaloid biosynthesis,1,103,0.6599722655741003,C07204,0.6717574846022092,False,0.17278748603609612
path:map00998,Biosynthesis of various antibiotics,1,108,0.6773710055507833,C07044,0.6864026189581272,False,0.1634210681125953
path:map00904,Diterpenoid biosynthesis,1,129,0.74128155727974,C07394,0.7478415710609766,False,0.12619039692373019
path:map01057,Biosynthesis of type II polyketide products,1,138,0.7646560723938913,C01907,0.7680246013471684,False,0.1146248684343704
path:map00999,Biosynthesis of various plant secondary metabolites,1,149,0.7903902137290673,C06972,0.7903902137290673,False,0.10215844563421371
